iter	Logloss
0	0.6915734818
1	0.6898524612
2	0.6879869022
3	0.6861624242
4	0.6842719093
5	0.6823644494
6	0.6805926333
7	0.6786493703
8	0.6768314068
9	0.6748294001
10	0.6731601776
11	0.6713503024
12	0.6696141493
13	0.6679122633
14	0.6662713359
15	0.6647360041
16	0.6628516966
17	0.6611572036
18	0.6593689727
19	0.657815656
20	0.6562540224
21	0.6545581086
22	0.6529024459
23	0.6514427547
24	0.6500273332
25	0.6484053456
26	0.646928576
27	0.6454718351
28	0.6440457849
29	0.6426677848
30	0.6410740127
31	0.6394645175
32	0.637861092
33	0.6362582547
34	0.6344577462
35	0.6330188375
36	0.631840666
37	0.6302601282
38	0.6287912226
39	0.6274790351
40	0.6259727469
41	0.6246522488
42	0.6232370752
43	0.6217704223
44	0.6201533754
45	0.6184704807
46	0.6172772898
47	0.6158791998
48	0.6147076097
49	0.6134318649
50	0.6119239027
51	0.6106802257
52	0.6094369231
53	0.6080227292
54	0.6068142298
55	0.6052867829
56	0.6038922266
57	0.602422508
58	0.6011503714
59	0.599808214
60	0.5986714944
61	0.5976013903
62	0.5964801722
63	0.5953595357
64	0.5941186366
65	0.5928442969
66	0.5918828343
67	0.5907954917
68	0.589782377
69	0.5886638004
70	0.5874408123
71	0.586230338
72	0.5850339104
73	0.5837681821
74	0.5828234907
75	0.5816115411
76	0.5807982916
77	0.5793850685
78	0.5784746653
79	0.577313109
80	0.5763630076
81	0.5753095316
82	0.5742110832
83	0.5731841734
84	0.5720885383
85	0.5711123618
86	0.5702210388
87	0.5694201954
88	0.5682256943
89	0.5670931428
90	0.5660718888
91	0.565050285
92	0.5639208931
93	0.5633054379
94	0.5624626267
95	0.5613164166
96	0.5601018138
97	0.5590534143
98	0.5579755749
99	0.5570193791
100	0.5562206582
101	0.5554763721
102	0.5543814834
103	0.553417635
104	0.5524704328
105	0.5517310867
106	0.55080422
107	0.5501661922
108	0.5489939697
109	0.5481646576
110	0.5473129813
111	0.5463803799
112	0.5454492332
113	0.5446868521
114	0.5439154062
115	0.543079638
116	0.5420355527
117	0.5410003921
118	0.5402564027
119	0.5393620459
120	0.5385884244
121	0.537855994
122	0.5368811307
123	0.5360673062
124	0.5353216275
125	0.5346374446
126	0.5340064437
127	0.5331688715
128	0.5326083071
129	0.5319311204
130	0.5311541857
131	0.5304815624
132	0.5300635982
133	0.5294039004
134	0.5288293463
135	0.5277936009
136	0.5271572775
137	0.5263993809
138	0.5256524045
139	0.5249401483
140	0.5241904874
141	0.5235213889
142	0.5227149868
143	0.5222320157
144	0.5214276503
145	0.520892274
146	0.5202920561
147	0.5198971325
148	0.5193480935
149	0.5185945699
150	0.5177376944
151	0.5169208462
152	0.5164221379
153	0.5159516375
154	0.5154164199
155	0.5147667851
156	0.5140942578
157	0.5133959529
158	0.5126857007
159	0.5120219513
160	0.5113614025
161	0.5107231278
162	0.5100397616
163	0.5093898093
164	0.5088253272
165	0.5081696643
166	0.507457133
167	0.5069265128
168	0.5064207558
169	0.5058582478
170	0.5052416543
171	0.5047525887
172	0.504024642
173	0.5035047466
174	0.5029657595
175	0.5023737913
176	0.5018324137
177	0.5014530772
178	0.5008716123
179	0.5005728318
180	0.4998090768
181	0.4990969259
182	0.4986159203
183	0.4981203417
184	0.4975961183
185	0.4971854503
186	0.4965902039
187	0.4960162861
188	0.4953258867
189	0.494904887
190	0.4945403092
191	0.4940486795
192	0.4936821788
193	0.4929828887
194	0.4925065107
195	0.4919451789
196	0.491440533
197	0.4907657211
198	0.4901907765
199	0.4896488048
200	0.4891527703
201	0.4886461791
202	0.4881106178
203	0.4874518067
204	0.4867620847
205	0.4862967562
206	0.485666101
207	0.4852233956
208	0.4847372838
209	0.4843964514
210	0.4839428376
211	0.4834478199
212	0.4828572631
213	0.4823048133
214	0.4816975657
215	0.4813412873
